S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,SURGUJA(1),CHINTAMANI MAHARAJ,713200,64822
2,RAIGARH(2),RADHESHYAM RATHIYA,808275,240391
3,JANJGIR-CHAMPA(3),KAMLESH JANGDE,678199,60000
4,BILASPUR(5),TOKHAN SAHU,724937,164558
5,RAJNANDGAON(6),SANTOSH PANDEY,712057,44411
6,DURG(7),VIJAY BAGHEL,956497,438226
7,RAIPUR(8),BRIJMOHAN AGRAWAL,1050351,575285
8,MAHASAMUND(9),ROOP KUMARI CHOUDHARY,703659,145456
9,BASTAR(10),MAHESH KASHYAP,458398,55245
10,KANKER(11),BHOJRAJ NAG,597624,1884
